q,k6kND7f,origami-angel-bg-transparent-img-1-2,origami-angel-padoru-1_waifu2x_noise1_scale4x-(1k1),origami-img-5,origami-school-uniform-bg-transparent-img-1_waifu2x_noise1_scale4x,origami_dem_sephiroth_main_1,origami_fon_pc_10,origami_fon_pc_13,origami_illustration_1(png),zacat-city-more
2q,787157,214742,960094,416579,468632,405611,440548,420508,334643,633589
3q,615465,167613,779822,337346,397828,321896,338578,340971,262105,484488
4q,527008,140598,684512,287378,359840,274372,277899,286338,224845,405533
5q,471929,124332,625501,256096,336968,245971,241448,260500,203060,357779
6q,428608,110455,575234,229979,317807,220881,210715,235737,184018,319094
7q,397667,100296,538312,210140,304207,202313,188441,212057,169793,292393
8q,371800,91142,506423,192591,292489,185811,169033,190303,156490,269687
9q,353660,85219,484401,181288,284538,175526,156405,180335,147946,254781
10q,337644,79630,464193,169771,277290,165656,144286,167361,139510,241416
11q,323335,74736,446050,159931,270736,156642,133745,156219,131964,228819
12q,311101,70174,430434,151361,265359,148789,124690,149027,125644,218687
13q,301305,66773,418666,144772,261258,142900,118053,142607,120504,210974
14q,291607,63482,406716,137679,257041,136922,111313,136774,115526,203096
15q,283586,60705,396659,131677,253543,131736,105236,131735,111359,196708
16q,276043,58071,386904,126497,250280,126567,99660,127124,107513,190751
17q,269540,55932,379315,122238,247562,122749,95264,123008,104341,185811
18q,263940,54037,372471,117788,245143,118943,91332,119938,101671,181635
19q,258632,52203,365548,113849,242607,115154,87372,116869,98987,177272
20q,253576,50462,359290,110337,240397,111715,83867,113323,96658,173600
21q,249708,49142,354131,107340,238700,109173,81073,110632,94857,170766
22q,245680,47686,349083,104149,236791,106077,78082,108273,92996,167604
23q,242036,46416,344200,101564,235143,103716,75437,105438,91263,164958
24q,238438,45121,339520,98788,233482,101255,72886,103176,89579,162202
25q,235696,44074,336010,96663,232191,99305,70837,101653,88279,160020
26q,233015,42988,332948,94071,231075,97217,68951,99683,87010,158123
27q,230098,41998,329377,91727,229821,95024,66907,97702,85646,155963
28q,227642,41084,326324,90010,228711,93306,65273,96443,84496,154219
29q,225530,40357,323488,88200,227735,91955,63761,94957,83381,152573
30q,223248,39481,320599,85764,226680,90110,62187,93417,82270,150899
31q,221371,38768,318031,83560,225772,88614,60851,92176,81243,149472
