quality,k6kND7f,origami-angel-bg-transparent-img-1-2,origami-angel-padoru-1_waifu2x_noise1_scale4x-(1k1),origami-img-5,origami-school-uniform-bg-transparent-img-1_waifu2x_noise1_scale4x,origami_dem_sephiroth_main_1,origami_fon_pc_10,origami_fon_pc_13,origami_illustration_1(png),zacat-city-more
2q,769,210,938,407,458,396,430,411,327,619
3q,601,164,762,329,389,314,331,333,256,473
4q,515,137,668,281,351,268,271,280,220,396
5q,461,121,611,250,329,240,236,254,198,349
6q,419,108,562,225,310,216,206,230,180,312
7q,388,98,526,205,297,198,184,207,166,286
8q,363,89,495,188,286,181,165,186,153,263
9q,345,83,473,177,278,171,153,176,144,249
10q,330,78,453,166,271,162,141,163,136,236
11q,316,73,436,156,264,153,131,153,129,223
12q,304,69,420,148,259,145,122,146,123,214
13q,294,65,409,141,255,140,115,139,118,206
14q,285,62,397,134,251,134,109,134,113,198
15q,277,59,387,129,248,129,103,129,109,192
16q,270,57,378,124,244,124,97,124,105,186
17q,263,55,370,119,242,120,93,120,102,181
18q,258,53,364,115,239,116,89,117,99,177
19q,253,51,357,111,237,112,85,114,97,173
20q,248,49,351,108,235,109,82,111,94,170
21q,244,48,346,105,233,107,79,108,93,167
22q,240,47,341,102,231,104,76,106,91,164
23q,236,45,336,99,230,101,74,103,89,161
24q,233,44,332,96,228,99,71,101,87,158
25q,230,43,328,94,227,97,69,99,86,156
26q,228,42,325,92,226,95,67,97,85,154
27q,225,41,322,90,224,93,65,95,84,152
28q,222,40,319,88,223,91,64,94,83,151
29q,220,39,316,86,222,90,62,93,81,149
30q,218,39,313,84,221,88,61,91,80,147
31q,216,38,311,82,220,87,59,90,79,146
