quality,k6kND7f,origami-angel-bg-transparent-img-1-2,origami-angel-padoru-1_waifu2x_noise1_scale4x-(1k1),origami-img-5,origami-school-uniform-bg-transparent-img-1_waifu2x_noise1_scale4x,origami_dem_sephiroth_main_1,origami_fon_pc_10,origami_fon_pc_13,origami_illustration_1(png),zacat-city-more
0q,51,62,73,21,51,43,19,22,23,29
1q,62,66,81,26,53,48,29,31,28,37
2q,66,68,87,28,58,48,33,34,30,40
3q,69,69,90,30,57,50,36,36,31,43
4q,73,71,93,31,60,52,38,38,33,45
5q,75,72,95,32,61,53,39,40,34,47
6q,78,72,97,34,60,54,41,42,35,49
7q,80,73,99,34,61,55,43,44,36,51
8q,82,74,101,35,62,55,44,45,37,52
9q,84,75,103,36,63,56,46,47,38,54
10q,86,76,105,37,65,57,48,49,39,55
11q,87,76,107,38,66,57,49,50,40,57
12q,89,77,108,39,64,58,51,51,41,59
13q,91,78,109,40,66,59,52,53,41,60
14q,93,78,110,41,66,59,53,54,42,61
15q,95,79,113,41,66,60,55,56,43,63
16q,97,79,114,42,66,61,56,58,43,65
17q,99,80,115,43,67,62,57,59,45,66
18q,101,81,117,44,67,62,59,60,46,68
19q,102,82,118,45,66,63,60,62,46,69
20q,104,82,120,46,68,63,62,63,47,71
21q,106,83,119,47,67,64,63,64,48,72
22q,108,83,121,48,64,65,64,65,49,74
23q,110,84,122,49,65,65,65,67,50,76
24q,112,85,125,50,65,66,66,68,51,78
25q,113,85,124,51,65,67,68,69,52,79
26q,114,86,125,52,68,67,69,70,53,81
27q,116,87,128,52,66,68,70,72,53,82
28q,118,87,129,53,66,69,71,73,54,83
29q,119,88,130,54,67,69,72,75,55,83
30q,122,88,131,55,67,70,74,76,55,85
31q,122,89,133,56,68,71,75,76,57,87
32q,124,90,135,57,68,71,76,79,58,89
33q,126,90,137,58,69,72,77,80,59,90
34q,127,91,138,58,69,72,78,81,60,91
35q,130,92,140,60,70,74,79,83,61,93
36q,132,92,142,60,71,74,81,85,62,94
37q,133,92,143,62,71,74,83,86,64,96
38q,135,93,145,62,71,75,83,86,65,98
39q,138,94,146,63,72,76,84,88,66,100
40q,140,94,148,64,73,76,87,90,68,101
41q,142,95,150,65,74,77,88,90,68,102
42q,143,96,154,66,74,77,88,92,69,104
43q,144,96,155,67,75,78,89,92,70,106
44q,147,97,156,68,75,79,91,94,71,107
45q,148,97,158,69,76,80,92,96,72,108
46q,151,98,160,70,77,81,93,98,73,110
47q,152,99,163,71,77,81,95,100,74,112
48q,155,100,165,73,79,82,96,100,74,113
49q,157,100,167,73,79,83,97,102,76,115
50q,159,100,168,74,79,83,98,103,76,117
51q,160,101,171,75,80,84,100,104,77,117
52q,163,102,173,76,81,85,101,105,78,120
53q,165,102,175,77,82,85,103,107,79,121
54q,167,102,175,78,82,86,104,107,79,123
55q,168,103,179,79,83,87,105,108,80,124
56q,170,104,180,80,84,87,106,110,81,127
57q,171,104,182,81,85,88,108,112,82,128
58q,175,105,183,81,85,88,108,113,83,130
59q,175,106,185,82,86,89,109,114,83,130
60q,177,106,187,83,86,90,110,116,84,133
61q,179,106,189,84,87,90,111,117,85,135
62q,181,107,190,84,87,91,114,119,87,136
63q,183,108,193,85,88,91,114,120,88,138
64q,186,108,195,87,89,91,116,122,88,140
65q,186,109,195,87,90,92,116,124,90,140
66q,190,109,198,88,90,93,119,125,91,144
67q,192,110,201,89,91,94,119,126,92,145
68q,193,111,201,90,91,95,121,127,93,145
69q,195,111,204,91,92,95,124,128,96,148
70q,198,112,206,91,92,95,124,132,96,151
71q,200,112,206,92,93,95,125,132,98,153
72q,201,113,210,94,94,96,126,134,101,154
73q,204,114,211,95,94,97,129,135,101,158
74q,206,114,214,95,95,98,130,136,107,158
75q,208,114,216,97,96,98,131,139,107,160
76q,215,117,223,99,98,100,134,145,114,167
77q,222,118,229,102,100,103,140,148,120,174
78q,233,121,236,106,103,105,144,156,127,181
79q,240,123,247,109,106,107,150,162,134,189
80q,248,125,254,112,109,109,155,168,138,197
81q,260,127,262,116,112,113,161,174,144,206
82q,270,130,274,119,116,114,165,185,148,215
83q,276,133,284,124,120,118,172,190,153,222
84q,294,136,294,128,124,120,177,198,159,236
85q,301,138,305,133,127,124,185,206,165,248
86q,312,141,320,137,133,127,189,221,171,259
87q,334,144,333,142,138,130,200,232,175,278
88q,356,150,355,146,145,133,207,245,178,302
89q,372,154,368,154,153,138,218,259,182,318
90q,401,159,386,161,158,144,226,271,189,345
91q,427,164,415,169,169,149,237,287,202,360
92q,453,170,448,176,184,158,252,311,211,393
93q,512,177,500,185,207,166,261,331,221,448
94q,549,187,530,198,215,177,273,364,228,483
95q,609,195,578,205,233,189,297,397,235,534
96q,654,204,631,222,262,203,311,432,255,566
97q,684,214,677,235,277,212,322,454,276,596
98q,750,221,733,252,306,223,345,501,288,651
99q,806,229,777,267,334,233,369,525,306,698
100q,823,233,795,277,343,237,383,531,313,712
